Note,Octave,Frequency (Hz),Wavelength (m),Comment
E,2,82.407,4.129m,Lowest Note of Guitar
F,2,87.307,3.898m,
F# / Gb,2,92.499,3.679m,
G,2,97.999,3.472m,
G# / Ab,2,103.826,3.278m,
A,2,110,3.094m,
A# / Bb,2,116.541,2.92m,
B,2,123.471,2.756m,
C,3,130.813,2.601m,
C# / Db,3,138.591,2.455m,
D,3,146.832,2.318m,
D# / Eb,3,155.563,2.187m,
E,3,164.814,2.065m,
F,3,174.614,1.949m,
F# / Gb,3,184.997,1.839m,
G,3,195.998,1.736m,Lowest note of violin
G# / Ab,3,207.652,1.639m,
A,3,220,1.547m,
A# / Bb,3,233.082,1.46m,
B,3,246.942,1.378m,
C,4,261.626,1.301m,Middle C
C# / Db,4,277.183,1.228m,
D,4,293.665,1.159m,
D# / Eb,4,311.127,1.094m,
E,4,329.628,1.032m,
F,4,349.228,0.974m,
F# / Gb,4,369.994,0.92m,
G,4,391.995,0.868m,
G# / Ab,4,415.305,0.819m,
A,4,440,0.773m,Tuning reference note
A# / Bb,4,466.164,0.73m,
B,4,493.883,0.689m,
C,5,523.251,0.65m,
C# / Db,5,554.365,0.614m,
D,5,587.33,0.579m,